row_id,id,title,description,availability,thecondition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,pattern,product_type,sale_price,shipping,shipping_weight,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
1,4245,"Cellar Craft Specialty Collection: Classic Cream Sherry Style Wine Kit","<div class=""description""> <p>[CSP301] Our sherry style wine has a concentration of scents, flavors, and finish that captures the appeal of the finest cream sherries. Oak contact and exposure to elevated temperatures mimics the conditions of traditional &ldquo;solara&rdquo; aging. The resultant complex aroma is enveloping. Subtle citrus fragrance precedes notes of coffee, caramel, tobacco, and cocoa. The velvety flavor suggests dried fruit, vanilla, and almonds. There is a balance of sweetness, richness, and maturity. The finish provides a lingering farewell as the concentrated flavors of dates and figs slowly dissolve on the palate.<br /><br /><strong>ABOUT CELLAR CRAFT SPECIALTY:</strong> For something special after a great meal, or simply as a luxurious indulgence, try one of our delectable specialty wines. These specialty wine kits contain 12 liters (3 gallons) of full strength must and produce 12 liters (3 gallons) of finished wine in 6 weeks. You add no water!<br /><br /><strong><span style=""color: #ff0000;"">SPECIAL SAVINGS:</span> Order 2 or more juices in any brand, any combination, at the same time and receive a 10% discount on both of them! Your discount will automatically be applied when the second juice is ordered.</strong></p> </div>",disabled,New,120,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,35,0,"Classic Cream Sherry Style | Wine Making Ingredient Kit","Classic Cream Sherry Style | Wine Making Ingredient Kit","Classic Cream Sherry Style | Wine Making Ingredient Kit","Classic Cream Sherry Style | Wine Making Ingredient Kit","Classic Cream Sherry Style | Wine Making Ingredient Kit"
2,4247,"Curved Racking Cane Set: 3/8"" Tubing","<div class=""description"">(RK439) A set of three curved racking tubes. Each one a different length: 12, 21 and 27 inches. All are made of clear rigid plastic and are curved at the top to eliminate your hose from crimping. Also has a diversion cap on the bottom for draw away from the sediment. These racking tubes are well suited for both winemaking and home brewing. Our 3/8 inch vinyl hose can be attached to the top end for easy siphoning.</div>",available,New,21,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,0,0,"Curved Racking Cane Set: 3/8"" Tubing | Wine & Beer Supplies","Curved Racking Cane Set: 3/8"" Tubing | Wine & Beer Supplies","Curved Racking Cane Set: 3/8"" Tubing | Wine & Beer Supplies","Curved Racking Cane Set: 3/8"" Tubing | Wine & Beer Supplies","Curved Racking Cane Set: 3/8"" Tubing | Wine & Beer Supplies"
3,4249,"Barrel Sealer","<div class=""description""> <p><span class=""tempclass19"">(BL910) This block of soft paraffin wax comes in handy on the rare occasion when a wooden barrel develops a small leak. Extremely pliable. Just work it into the leaking crack from the outside of the barrel. Very easy and quick to use. And very effective. Made in Germany.</span></p> </div>",available,New,14,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,0,0,"Wooden Barrel Leak Sealer | Wine Making Supplies","Wooden Barrel Leak Sealer | Wine Making Supplies","Wooden Barrel Leak Sealer | Wine Making Supplies","Wooden Barrel Leak Sealer | Wine Making Supplies","Wooden Barrel Leak Sealer | Wine Making Supplies"
4,4250,"Curved Racking Cane: 27"" Long / 3/8"" Tubing","<div class=""description"">27 inches tall. Made of clear rigid plastic. Tall enough for 7 to 15 gallon size containers. Has a curve on the top end to eliminate any problems with crimping hoses. The tube is closed on the bottom by a cap that diverts the suction away from the bottom. This helps to eliminate drawing any sediment while siphoning. Our 3/8 inch vinyl hose can be attached to the top end for easy siphoning.</div>",available,New,10,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,4,0,"27"" Curved Racking Cane: 3/8 Inch Tubing | Wine & Beer Making","27"" Curved Racking Cane: 3/8 Inch Tubing | Wine & Beer Making","27"" Curved Racking Cane: 3/8 Inch Tubing | Wine & Beer Making","27"" Curved Racking Cane: 3/8 Inch Tubing | Wine & Beer Making","27"" Curved Racking Cane: 3/8 Inch Tubing | Wine & Beer Making"
5,4252,"Brewers Best Beer Recipe Kit / Bold Series: Double IPA","<div class=""description"">
<p><span class=""tempclass19"">(BB120) Designed to be easy enough for the beginner, yet challenging enough for the more experienced. ""Bold Series"" kits make fuller, richer beers... Dark beers with a lot of gusto. Each ingredient kit makes 5 gallons. All recipes are proven and conform to AHA Style Guidelines. Comes with ""all"" the ingredients you need: Malt Syrup, Malt Grains, Hops, Yeast, Sugars, even the bottle caps. But more importantly, each ingredient kit comes with complete, easy directions that assume you know nothing. (No equipment included) <br /><br /><strong>Not Interested In Real Heavy Beers?</strong> Then take a look at our regular line of <strong><a href=""http://www.eckraus.com/beer-brewing/beer-brewing-ingredients/beer-recipe-kits/brewers-best-recipe-kits/"" target=""_self"">Brewer`s Best Kits</a></strong>. Choose from 21 different flavors from Light American Lights to Heavy Stouts. <strong><a href=""http://www.eckraus.com/beer-brewing/beer-brewing-ingredients/beer-recipe-kits/brewers-best-recipe-kits/"" target=""_self"">Click Here &gt;&gt;&gt;</a></strong></span></p>
<p><span class=""tempclass19""><strong><span style=""color: #ff0000;""><strong><span style=""color: #000000;""><span class=""tempclass19""><strong><span style=""color: #ff0000;"">SPECIAL SAVINGS:<strong><span style=""color: #000000;""> Order 2 or more beer recipe kits, any brand - any combination, at the same time and receive a 10% discount on all of them! Your discount will automatically be applied when you check out.</span></strong></span></strong></span></span></strong></span></strong></span></p>
<p>&nbsp;</p>
</div>
<div class=""description description-contents""><strong>FERMENTABLES</strong>
<ul>
<li>9.9 lbs. Light Liquid Malt Extract</li>
<li>1 lb Corn Sugar</li>
</ul>
<strong>SPECIALTY GRAINS</strong>
<ul>
<li>8 oz. Caramel 40&deg;L</li>
<li>4 oz. Carapils</li>
</ul>
<strong>HOPS </strong><strong><span style=""color: #ff0000;"">(Hop varieties may vary based on availability.)</span></strong>
<ul>
<li>2 oz. Bittering</li>
<li>2 oz. Flavoring</li>
<li>2 oz. Aroma</li>
</ul>
<strong>YEAST</strong>
<ul>
<li>1 Sachet</li>
</ul>
<strong>ADDITIONAL ITEMS INCLUDED</strong>
<ul>
<li>Grain Bag(s)</li>
<li>Bottle Caps</li>
<li>Priming Sugar</li>
<li><strong><a href=""http://brewersbestkits.com/"" target=""_blank"">Complete Directions</a></strong></li>
</ul>
</div>
<div class=""description description-details"">
<ul>
<li><strong>Ending Batch Size:</strong> 5 U.S. Gallons</li>
<li><strong>Original Gravity:</strong> 1.078 - 1.081</li>
<li><strong>Final Gravity:</strong> 1.015 - 1.019</li>
<li><strong>Alcohol:</strong> 7.8% - 8.3% BV</li>
<li><strong>IBUs (Bitterness):</strong> 100+</li>
<li><strong>Color:</strong> Deep Gold</li>
<li><strong>Difficulty:</strong> Easy</li>
</ul>
</div>",available,New,61,product.html,product.html,4,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,9,0,"Brewers Best / Bold Series: Double IPA | Beer Making Ingredient Kits","Brewers Best / Bold Series: Double IPA | Beer Making Ingredient Kits","Brewers Best / Bold Series: Double IPA | Beer Making Ingredient Kits","Brewers Best / Bold Series: Double IPA | Beer Making Ingredient Kits","Brewers Best / Bold Series: Double IPA | Beer Making Ingredient Kits"
6,4254,"Heron Bay Ultra Premium - Australian Shiraz","<div class=""description""><p><span class=""tempclass19"">[HBU110] (Shee-rahz) This red wine is fruit-driven, loaded with black-cherry and a hint of spice on the nose. Richly textured with concentrated dark berry fruit creating a multi-layered wine. Velvet tannin structure and spicy oak notes.<br /><br /><strong>ABOUT HERON BAY ULTRA PREMIUM KITS:</strong> These 6 week ultra premium wine kits are designed to give you a rich and complex wine drinking experience. Each kit possess a well-balanced and structured taste profile that can take advantage aging. Each kit contains a blend of varietal juices and concentrates that create a wine with distinctive flavors, aromas, and a wine which is true to its type and origin. These 16 liter kits makes 6 gallons (30 bottles) of wine. All of the ingredients you will need are included in the kit and are pre-measured along with fool-proof directions. <br /><br /><strong>SPECIAL SAVINGS:</strong> Order 2 or more juices in any brand, any combination, at the same time and receive a 10% discount on both of them! Your discount will automatically be applied when the second juice is ordered! <br /><br /><br /><form enctype=""application/x-www-form-urlencoded"" method=""get""></form></span></p></div>",disabled,New,156,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,42,0,,,,,
7,4256,"Carawheat Malt: Weyermann / 1 lb.","<div class=""description"">[GN244] Weyermann Carawheat will help beers improve their fullness, and enhance the color with the biggest effect coming in Wheat style beers. With its usage rate of up to 15%. Carawheat is used in many different styles of beers. Dark ales, Hefe-Weizen, Dunkel-Weizen and other top fermented beers.</div> <div class=""description""> <ul> <li>Grain Type: Carawheat Malt</li> <li>Approximate Lovibond: 42.0 - 53.0</li> <li>EBC 100 - 140</li> <li>Usage Rate up to 15%</li> <li>Origin: German</li> </ul> <p>&nbsp;</p> <p><span style=""color: #ff0000;""><strong>Special Savings:</strong></span><strong>&nbsp;Buy 10 or more bags of malt - any type, any brand - and save 10% on them.</strong></p> </div>",available,New,2,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,1,0,"Weyermann Carawheat Malt | Beer Making Ingredients","Weyermann Carawheat Malt | Beer Making Ingredients","Weyermann Carawheat Malt | Beer Making Ingredients","Weyermann Carawheat Malt | Beer Making Ingredients","Weyermann Carawheat Malt | Beer Making Ingredients"
8,4257,"Funnel Set","<div class=""description""> <p><span class=""tempclass19"">(FN195) This set includes one each of the 10"", 8"", 7"", 6"", 5"" and 4"" funnels along with 3 different snap-in screens: fine, medium and coarse. Snap-In screens work with both the 10"" and 8"" funnels.</span></p> </div>",available,New,45,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,40,,1,0,"Funnel Set | Wine & Beer Making Equipment","Funnel Set | Wine & Beer Making Equipment","Funnel Set | Wine & Beer Making Equipment","Funnel Set | Wine & Beer Making Equipment","Funnel Set | Wine & Beer Making Equipment"
9,4258,"High Temperature Silicone Tubing: 1/2"" ID","<div class=""description"">(RK180) 1/2 inch inside diameter. 3/4 inch outside diameter. Has a standard working temperature of 280 deg. With a maximum working temperature of 350 deg. Unlike other tubing this silicone tubing will not collapse under the heat. Sold per foot.</div>",available,New,3,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,0,0,"High Temperature Silicone Tubing | Beer Brewing","High Temperature Silicone Tubing | Beer Brewing","High Temperature Silicone Tubing | Beer Brewing","High Temperature Silicone Tubing | Beer Brewing","High Temperature Silicone Tubing | Beer Brewing"
10,4259,"Pelletized Hops: Mt Rainer / US / 1 oz.","<div class=""description""> <p>[HPP210 RAI] Similar to Hallertau, but with more bittering strength, excellent floral aroma with citrus and licorice tones. Mount Rainier has a complex parentage, including Hallertau, Galena, Fuggles. With its dual purpose aroma and bittering this makes Mt. Rainier Ideal when making Heavier Lagers also very desirable for Stouts and Porters. Possible substitutions are Hallertau and Fuggle.</p> <ul> <li>Alpha Acid 5.2-8%</li> <li>Citrus and licorice tones</li> <li>Ideal for heavier Lagers also for Stouts and Porters</li> </ul> </div> <div class=""description"">&nbsp;</div> <div class=""description"">&nbsp;&nbsp;<span class=""tempclass19""><span class=""tempclass19""><strong><span style=""color: #ff0000;"">SPECIAL SAVINGS:</span><strong>&nbsp;</strong></strong></span></span></div> <div class=""description""> <p><span class=""tempclass19""><span class=""tempclass19""><span class=""tempclass19""><strong><span><strong><span>&mdash; Order 3 or more packages of hops, save 10%!<br /></span></strong></span></strong></span></span><span class=""tempclass19""><span class=""tempclass19""><strong><span><strong><span>&mdash; Order 10 or more packages of hops, save 20%!</span></strong></span></strong></span></span></span></p> <p>M<span class=""tempclass19"">ix and match&nbsp;<a href=""http://www.eckraus.com/beer-ingredients/homebrew-hops/"">all hops</a>&nbsp;for quantity pricing.</span></p> <p><span class=""tempclass19"">Discount will apply when checking out.</span></p> </div>",available,New,3,product.html,product.html,0,product.html,product.html,product.html,product.html,0,product.html,"0000-00-00 00:00:00",product.html,physical,0,,0,0,"Hop Pellets Mt Rainer | Beer Making Ingredients","Hop Pellets Mt Rainer | Beer Making Ingredients","Hop Pellets Mt Rainer | Beer Making Ingredients","Hop Pellets Mt Rainer | Beer Making Ingredients","Hop Pellets Mt Rainer | Beer Making Ingredients"
